locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Jama na Jelici,"1,5",2,1,"16,5",6,"12,5"
Jama pod Debelom glavom,2,3,1,981,816,68
Turska pećina,"0,8",1,1,6,6,0
Jama za stijenama,"0,5","0,5",1,20,3,20
Ginko biloba,2,1,1,5,5,5
Krajputašica,1,"0,8",1,,35,99
Habitat,"1,5","2,5",1,40,30,10
Golubnjača na Ziru,,,1,,,
Što sam ja sve crt'o,6,4,1,8,4,7
Dolačina sestrica,3,2,1,,22,"15,5"
Japlena – Vranići,3,5,1,,22,26
Špilja kod Bašarinke,5,1,1,59,51,12
Špilja na Šegotskom padežu,"3,7","2,7",1,"6,5","4,6","4,5"
Spilja ispod manastira Dragović,3,5,1,118,109,4
Cerićka pećina,,,1,,,
Sedrena špilja Skrivenuša,"1,7","1,7",1,32,32,0
Kamena buzara,,,1,182,150,34
Prototip jama,1,"1,6",1,"7,7",2,"5,9"
Bunar jama na Kamenom Žaknu,"0,7","0,7",1,15,11,"6,5"
Jama pod Veliki Debeljak,"0,5",3,1,17,6,14
Jama pod Sv. Jurom,,,1,,,
Slobodna jama,2,2,1,92,44,48
Jama između gomila,"0,5","0,5",1,21,10,18
Sa mi je ža,5,24,1,131,40,88
Dana,,,1,,,
Keserka,"1,7","2,8",1,,"24,9","4,7"
Poznanka,,,1,,,
Golubinka,5,"6,6",1,,25,"36,5"
Burinka,15,20,1,,325,290
Jama u 6. odjelu,"1,8","2,6",1,,3,7
Bršljanova špilja,"1,5","0,7",1,"6,4","6,2","0,9"
Fafarinkina špilja,3,3,1,6,6,0
Vedotova jama,"1,5","0,7",1,,"5,5",7
Mala špilja pored Vrlovke,11,"3,4",1,"40,5","39,7",2
Tri Gracije,1,"2,1",1,5,5,4
Pavlovica,10,"6,5",1,,50,38
Golubovečka Veternica,"1,2","4,5",1,"10,2","9,7","2,6"
Dušmana peć,16,8,1,83,77,13
Elin pokušaj,2,1,1,29,9,24
Šljama u Šupljoj stijeni,3,5,1,32,25,13
Jama Marušići Kave Vale,1,"0,8",1,,9,6
Dupla jamica,"1,6","0,7",1,,"5,5",7
Dabar špilja,2,1,1,30,30,3
Jama u rovu kod karaule blizu sela Obadi,"0,5","0,5",1,6,"3,5",6
Termosica,"8,8","2,6",1,15,5,14
Postojna distruta,8,7,1,,46,"5,4"
Jama među Obljacima,1,"1,5",1,,4,7
Špilja u Škorićima,"17,8","10,4",1,,85,20
Velesova jama,5,10,1,175,61,143
Gigantes,13,15,1,81,45,44
Bakarska vodica,"1,3","0,7",1,"9,5","5,5","5,5"
Jama na Strane,7,"2,4",1,,4,5
Pećniška,3,"1,5",1,12,12,0
Tonkovića špilja,,,1,,,
Jama Io,5,10,1,,"9,5",10
Špilja na Bugarima,5,2,1,,24,"1,3"
Mini golf - Strguljin grad 3,12,3,1,,12,"13,5"
Špilja Gluhe drage 1,2,3,1,6,"5,5","1,5"
Japančeva špilja,"2,2","0,6",1,"7,3",7,0
Patkov gušt,65,30,1,601,94,553
Jama SDB,4,"1,5",1,,40,91
Dolačina mama,10,8,1,,15,12
Jama pod Budinom kosicom,1,1,1,,9,19
Ježeva kučica,5,6,1,34,11,30
Špilja pod Radučom,2,4,1,9,9,3
Grotta Denizza,,,1,,,
Špilja bez dlakavog govna,"0,7","0,7",1,"5,5",5,2
Mala praska,"3,8","2,7",1,34,26,15
Kozlinova špilja,1,1,1,"7,6","7,3","3,4"
Ivina jama,,,1,,,
Gornjopokojčica,1,"0,5",1,"10,7","9,8","2,8"
Špilja pod bregom,"0,8","1,5",1,"5,7",5,0
Pasja jama,"0,5",1,1,,5,8
Jama kornjaša,5,3,1,116,40,82
Kamenica 3,2,2,1,8,8,0
Mramorna pećina,"1,5",1,1,54,"45,2","13,1"
Jama 203,"1,5",9,1,"73,7","23,3",58
Polušpilja ispod pruge,"3,5","0,9",1,9,9,1
Jama na Rijavcu,4,"3,5",1,73,23,65
Jama Nevjernica,11,15,1,26,"11,5","17,5"
Kravska jama,"1,6",5,1,13,"7,5",7
Balića špilja,70,7,1,194,155,50
Golubička,5,15,1,"196,1",92,"102,8"
Komitina jama,2,"1,7",1,54,32,29
Brad kosa plazibat špilja,4,2,1,33,31,10
Jedna do sto,"5,5","1,5",1,"10,5","6,3",0
Piskovica,2,"1,5",1,1036,1033,38
Velika peć 2,8,3,1,33,22,0
Golubinka kod Ždrila Maslenice,"4,5",7,1,,197,35
Podčorkica,"2,8",1,2,17,10,9
Golubinka na Orjaku,5,4,1,39,10,35
Koktel ljubavi,"0,5",1,1,,16,19
Samina oproštajna,5,"3,5",1,68,25,36
Morž,3,"1,5",1,,"11,5","9,3"
Jama Efelem,"4,1","1,5",1,"14,5",10,"6,5"
Grebenka,5,3,1,11,8,7
Pećina Debela sten 3,"3,5",2,1,,5,0
Mala bezdanica,1,"1,5",1,66,45,"34,5"
Druga špilja u mojoj dulibi,"6,9","1,8",1,"8,7","8,3","2,6"
Golubinka,2,10,1,62,58,24
Vladića bezdanica,"2,5","2,5",1,47,30,15
Velika pećina,10,7,1,,405,23
Parkiruša,2,5,1,"8,2","3,5","7,8"
Potpećina 3,1,"0,5",1,6,6,1
Pećina kod Katuna,"2,8","4,5",1,"9,4","9,3",0
Pivnica ,"3,5","1,5",1,155,155,42
Jama iznad Hajduković barice,"1,2",1,1,25,"6,5","18,5"
Jama u Bučinom dolcu,"1,5",4,1,,26,22
Podledenica,4,6,1,"243,4","79,33",171
Mala Selina,"0,7","0,7",1,,25,36
Međeđa jama,5,3,1,"45,7",20,36
Hajdova hiža,10,2,1,,1188,65
Rokovka,1,"1,5",1,38,4,36
Jama u Kobilići Dolcu,2,"2,5",1,12,6,"7,5"
Užas je moja furka,"0,5","1,4",1,7,"6,3",3
Fosilka,"1,5","1,3",1,"82,9",40,"62,1"
Golubera iznad Vlašića,"1,7",2,1,"26,5","8,5","19,2"
Jama u Donjoj Dubravi,"0,8","0,1",1,"8,3","3,5","6,1"
Pećina ispod livade,,,1,,,
Jama Tetris,2,1,1,,10,"169,5"
Nebeska kuka,5,5,1,74,"13,3",67
Halloween,2,1,1,,8,15
Polušpilja Generalski stol,"1,2","0,8",1,"5,2","5,2",0
Gole Brce,3,2,1,,29,"49,5"
Crno vrelo,,,1,783,699,81
Mini golf - Strguljin grad 5,3,7,1,,9,17
Pišurka,6,"1,3",1,86,75,32
Jama ugažene žabe,2,2,1,32,19,23
Meandar ,1,4,1,"19,6",9,15
Vrbočulje,"1,3","0,6",1,45,36,"12,5"
Belecgradska špilja,2,1,1,"11,8","10,9",0
Ledenica,40,25,1,,220,53
Pećina Meandar,1,2,1,83,80,"11,5"
Kukelj 1,2,1,1,,6,0
Markova bezdanka,34,14,1,168,114,98
Put u Agartu,4,6,1,11,10,3
Kunina špilja,3,"1,5",1,,228,108
Jama kod Kolića 2,6,4,1,,48,40
Ljepotica,"5,3","3,4",1,"25,7",9,"19,5"
Čelijanka,"6,5",20,1,"87,5","73,5",0
Mala štala na Pagu,2,"1,5",1,"13,5",13,"3,5"
Meandar mali,1,"1,5",1,10,"8,5",7
Lalovićeva jama,8,"5,5",1,,14,20
Majerovo vrilo,16,15,1,,942,104
Baba,4,"0,7",1,,105,9
Ozbiljna jama 1,2,1,1,"15,4","10,5","9,9"
Špilja kod sela Šiljezi,3,2,1,,18,9
Bušbulj,2,5,1,,18,"31,5"
SKUB,3,"3,5",1,,6,"12,5"
Jasenice 1,"1,4","1,5",1,5,5,7
Špilj pod Lepinom,3,2,1,9,8,5
jama na Zaglavu,5,10,1,14,,17
Izvor pećina uz Tomašić potok,"4,4",4,1,,89,6
Titova špilja,,,1,,,
Jabukova jama,"1,5",3,1,"6,5","5,5","1,2"
Jama s mostom,1,1,1,39,9,25
Mrežnička peć podno Svete Jelene,"0,7",2,1,18,18,0
Hanžekica,"0,4",1,1,41,10,"18,8"
Pećina Podgrad 3,"0,5","0,5",1,,5,"0,8"
Brlog s podrškom,"1,6","1,2",1,"9,5","9,5",0
Jama na Bojušini 1,"1,5",2,1,25,19,11
Jama na brdu Lučko,2,1,1,,"1,5",9
Ficlek,1,"1,5",1,"8,8","8,7","0,7"
Jama na cesti,"0,5","0,4",1,,5,28
Babina jama,,,1,,,
Uska Rudnica,"0,5","0,7",1,6,6,0
Let na drugi svijet,"2,5",2,1,"86,4",20,61
Gruba budi,"2,5","4,8",1,8,"3,5","5,5"
Lastovnjak,5,3,1,25,23,10
Milićka,5,4,1,54,27,24
Jama pod Jelenskim vrhom 1,6,"4,5",1,"48,5","18,5",35
Špilja u ploči,3,"1,2",1,13,12,0
Gradska spila,5,"2,5",1,,"26,5","1,8"
Zametska pećina,"1,8","2,5",1,224,"186,5",24
Dedov nos,1,1,1,,"6,6",0
Prosjeda jama,3,2,1,,15,33
Lukovica,"1,6","2,4",1,61,29,30
Golubinka u uvali Južni Vavošćak,"6,8","8,5",1,"44,5","44,5",0
Frkina jama,10,5,1,249,39,215
Jama kod Velog vrha ,2,3,1,,24,35
DG4,5,7,1,32,27,12
BS-4,3,1,1,,6,12
Duncanova jama,3,1,1,"5,4","3,5","4,8"
Vuco 3,"0,6","0,4",1,,"10,5","4,9"
Juranska pećina,22,13,1,90,85,23
Rušinovica,4,2,1,,4,45
Pećina kod Zvonika 1,"2,5",2,1,,10,3
Kozja špilja    ,"2,5",3,1,"9,5","8,6",0
Gnu,"2,8","1,5",1,"24,2",11,16
Jama pola fiksa,"1,5",3,1,11,"4,4","7,2"
"Jama """"kod same jame""""",10,"1,5",1,,15,23
Donja gora,4,3,1,20,"7,5","12,6"
Špilja u Ceriku,2,3,1,,38,9
Popovićeva pećina u siparu,"0,6","0,3",1,,7,"1,8"
Jama pod Paskom,2,5,1,"45,2","7,6",40
Strgani gležanj - Knež,"1,7","1,7",1,,"11,2","1,7"
Sušilova,3,2,1,28,25,3
Bezdan jama na carini,,,1,,,
Jama ispod Vruljskog brda,,,1,,,
Trulo đubre,"0,9","2,9",1,27,"15,5",11
Jama na Ledini,"1,5",3,1,,85,130
Treći svijet,1,1,1,371,72,310
Jama kod Matkići,5,"2,5",1,82,35,60
Jama na Goskovu,"0,5","0,4",1,7,5,5
Špilja pokraj Šuplje stine,3,5,1,13,"12,5",0
Eco no fix,8,2,1,24,8,22
Jama na Brestovcu,,,1,,,
Zbogom u Osijek,8,3,1,26,21,15
Golubinka kod Šaini,7,26,1,51,37,"24,5"
Špilja u Radinovcima,7,4,1,,50,14
Jama Povuci-potegni,"1,5",6,1,,5,27
Golubinka pored Sinkovića staja,6,6,1,49,34,18
Alisa u zemlji čuda,"0,8","0,7",1,"5,5","5,5",3
Balerina,4,3,1,45,10,30
"Moćna jama SG 1,24 ","0,6","0,3",1,,5,5
Špilja kod Palačevića,"3,5","0,5",1,12,12,3
Pećina 2 u Štroligovom dolu,2,2,1,9,8,2
Izvor u Medveji,,,1,,,
Jama II kod Metodovog zida,"0,8","1,4",1,"14,5","6,8","14,5"
Ivino mokrilo,7,5,1,129,28,87
Teško nać,1,"0,5",1,13,6,"8,8"
Jama kod Rašpora,16,12,1,5661,4721,351
Srimuš,3,2,1,20,7,14
Nozdarica,"0,7","0,6",1,"42,5","7,8","42,5"
Špilja u Jazbinama,4,3,1,18,14,8
Slovačka,7,2,1,6416,2755,1324
Špilja u uvali Domaglina,5,3,1,84,71,15
Koranska desna špilja,5,17,1,23,19,"12,2"
Jama u Lepušića,8,5,1,,6,23
Kosilova jama,5,3,1,40,16,34
Jama kod Pinezići,"2,5","2,5",1,8,"5,5",16
Ober krila,"0,9","0,4",1,"5,2","5,2",0
Ipak jama,"2,6",5,1,14,9,7
BD 3,3,"1,5",1,,5,"5,9"
G29,1,1,1,,6,"12,5"
Brajdićeva jama,"1,1",7,1,,43,48
Bliznice 2,6,"1,5",1,,14,"1,9"
Pećina Mirakul,3,10,1,"57,5",30,"8,5"
Laganini,3,3,1,28,10,26
Jama pod medvjeđim zubom,5,3,1,30,13,25
Vranjkovački jaz,,,1,"123,8","23,4",195
Stifler,"1,5",2,1,"11,5",9,3
Jamski sustav Crnopac,,,1,,,
Staje 9,1,2,1,,10,22
Brgudac X,"0,6","0,6",1,17,9,11
Ribareva pećina,1,3,1,13,13,0
Baldina jama,4,3,1,98,79,34
Žljebe špilja,"0,7",1,1,"9,8","9,8","0,4"
Tamnica na Tavanima,"0,8","0,6",1,,31,7
Pod piramidom,9,5,1,"14,7","11,4",8
Jama pod Jarebinjakom 2,1,"2,5",1,8,4,5
Mrgića ponor,11,3,1,73,73,3
Radusinovac,,,1,,,
Abisso di Portole,"0,7","0,7",1,175,34,159
Sarića pećina,1,1,1,33,"29,4",12
Šurkov Bijelež,4,7,1,"30,9","13,4",25
Špilja Lidarka,5,4,1,30,15,12
Jama na Kačju,10,10,1,406,114,264
Jama pod Sv. Spasom,6,7,1,,42,78
Špilja u Lužnama,,,1,,,
Arnautova golubnjača,4,3,1,93,58,40
Oklen II,3,14,1,16,14,10
Paški trokut,"0,6","0,6",1,8,6,"4,2"
Karle,1,2,1,,"39,8","14,5"
Jednodnevna jama,"2,5",11,1,"12,5","7,1",9
Deimos,"4,5",15,1,,68,34
Druga nespojena,1,"3,5",1,"9,4",5,"6,6"
Rubinićeva spilja 2,"0,5","0,5",1,6,4,2
Svibanjski poljubac,11,"2,5",1,15,10,15
Golubnjača,"2,5",2,1,34,29,10
Svijećnica 2,"4,52","7,78",1,"22,4","7,78","21,9"
Golubinka u Zečevu Rogozničkom,7,4,1,80,30,33
Jama Koplje,"3,6",5,1,"31,5",16,"25,4"
Greben spašenih,1,3,1,"23,5",6,"22,5"
Jama u Crnim vrtačama,"2,6","1,2",1,"83,5",60,31
Jama pod Blatačkim brigom,15,10,1,83,51,54
Biankina špilja,"0,5","0,6",1,11,11,"1,7"
Maurova jazbina,"2,5","2,5",1,"17,3","16,6",0
Vukovića jama,18,10,1,148,136,23
Jama u Velim Sapcima 4 ,5,3,1,,5,6
Plitvice 196,7,5,1,21,9,18
Vučilnica špilja,"1,4",2,1,,5,0
Sašina jama,10,"7,5",1,,17,20
Pećina Zelena trava,"5,5",4,1,7,"6,5",0
Zdenec pri Ciglaru,"3,5",2,1,,41,2
Koralka,"0,5",1,1,7,4,1
Bojina jama,,,1,,104,38
Glista,"1,2",1,1,"13,5",2,"13,5"
Špiljica nasuprot ulaza u Kitu,3,"1,5",1,8,8,1
Skavnice,"0,94","0,76",1,,"0,94","10,1"
Šit,1,"0,5",1,21,8,"13,5"
Dvogrla iza spomenika,8,2,1,30,15,15
Ledenica na sjevernoj padini Sv. Jure,,,1,,,
Špilja Milke Trnine,"1,4","2,8",1,"33,3","33,2",0
Klementina 3,1,"0,5",1,,473,333
Jama kod Lukine jame br. 8,2,1,1,,7,14
Jama u Zapolju,"1,5",1,1,,6,6
Oblok,2,"2,5",1,,20,60
Kaverna B1,1,"2,5",1,22,18,11
Jama na otoku Zvirinovik ,"1,8","2,5",1,11,10,"4,5"
Sicilijanijeva trourka,10,6,1,41,"10,8",29
Jama u potrazi 1,"4,4","2,8",1,43,14,19
Smokvica,"1,5","0,7",1,108,57,52
Girina matura,4,3,1,,4,"23,6"
Špilja Tominih memoara,4,3,1,24,22,9
Špilja na Smokvici,"0,5","0,9",1,,"8,5",4
Špilja Zdenac,14,6,1,,35,"2,5"
Gola voda,"5,6","6,7",1,24,8,20
Jama kod Brčkovaca,"0,7","0,4",1,7,4,6
Jamuša,30,10,1,,32,45
Smrzlinka,10,4,1,96,"90,5","11,7"
Vilina pećina,5,3,1,"13,5","13,5",0
Dvostruka jama,3,12,1,287,120,149
Špilja u Podrujnici,"0,5","0,5",1,"15,5","14,5","2,5"
Trogrla jama,,,1,,,
Jamurina kod Konačina,40,22,1,77,54,51
Jama u Ljubačkom polju,"1,5","0,75",1,18,7,17
Jama za Mahrincem,"3,5","2,5",1,,26,25
Lokvarka,,,1,,,
Glogova jama,50,25,1,428,271,156
Tuš kabina,2,3,1,40,4,38
Markova jama,"0,8","0,4",1,,"2,5","4,5"
Jama u Crnim dolinama,"6,5",7,1,,8,"17,5"
Ponor Grabovac II,,,1,"17,5",15,"6,8"
Bocina jama,"3,5","2,5",1,"75,3","16,2","63,4"
Jurišina špilja,"1,5",1,1,26,25,"2,5"
Jama na Nošiću,2,"1,5",1,21,8,15
Vudu čajld,"3,5",9,1,108,22,86
Dovratina pećina,"2,5","1,5",1,62,62,1
Ivkina jama pod Panosom,5,"3,5",1,52,21,37
Bliznica,8,5,1,20,"17,4",5
Skorojama,4,2,1,,15,11
Mandina jama,"3,2","1,6",1,45,13,35
Hot pants,7,20,1,43,30,11
Žablja jama,"0,8","0,7",1,"31,8",11,22
Antipatična,3,4,1,22,12,12
Ona druga Kuzmina,1,"0,6",1,13,9,8
Međed mutavi,2,"2,2",1,34,24,16
Jama na njivi Valdelari,"2,5","1,5",1,26,7,22
Pukotina u tunelu polje Jezero-Peračko blato,1,"0,6",1,44,12,14
Puževa jama,1,1,1,,13,18
Ima dalje,"0,7","0,5",1,37,10,35
Senovac,"1,5","1,8",1,75,73,0
Jelenko,1,"1,5",1,"28,6","1,5","28,5"
Medvije stajice 1,"0,5",1,1,10,8,3
Jama na Mrždolcu,"0,5","0,8",1,,2,17
Slavuja,1,"0,5",1,29,6,21
Špilja na granici,7,12,1,"47,2","35,9","27,6"
Jama kod tornja,"0,7",3,1,,14,27
Rujnica,"2,3","1,7",1,16,6,13
Vrata Japaga,"3,5",2,1,,"15,5",8
Alipanka,2,2,1,,11,"14,2"
Na Svi Sveti dan,"2,1","3,4",1,24,"18,5",15
Batićan 2,"1,2","1,1",1,6,5,"0,5"
Starija gospođa,2,7,1,16,"11,4",7
Špilja kod vrha Spile,"12,5",5,1,,30,"10,6"
Dragina pećina na Dobri,,3,1,"65,3",46,2
Vratolomka,"2,6","1,85",1,,115,25
Signalka,8,"6,2",1,"57,3",37,"26,9"
Mlohavi borer,2,4,1,130,52,72
Jama na Rtiću iznad strane,"0,8","0,4",1,"12,6",4,8
Ponor u Kalanjevoj ruji,"6,5","2,5",1,,"31,7","26,5"
Jupa,"2,5",10,1,9,9,8
Jama Gornji ulaz,"1,2",2,1,18,10,15
Idrenica,"0,5","0,5",1,41,13,34
Istinite laži,"0,5","1,8",1,,15,"17,5"
Pećina nema medvjeda,10,4,1,,17,10
Stipina jama,"0,7","0,6",1,21,"4,5",21
Fulinovica,21,16,1,,27,37
Bljuvačnica,2,3,1,"11,8","7,1","9,4"
Pećina u Topolovcu,12,3,1,,28,6
Reno 4,5,10,1,88,48,37
Stara jametina,12,8,1,,188,85
Bunaroid,"1,7","2,2",1,"25,8",13,18
Klementina 4,17,10,1,,408,300
Atentat,5,2,1,"17,3",7,"14,8"
Bateryka,5,3,1,74,22,66
Jamski sustav KV2 - VVKV,30,20,1,220,84,70
Kaverna Blažići 2,"0,5",2,1,,17,40
Šprajcerka,"1,6","1,7",1,,41,"6,5"
Špilja u ogradama,1,"0,5",1,14,14,2
Pećina uz prugu,2,3,1,,75,"11,5"
Jama u potrazi,"0,5","0,5",1,12,5,10
Jama sa stolom,"0,5",1,1,"18,8","12,9","7,8"
Jama na Podima,5,"1,5",1,46,27,32
Jama Podčopalj,1,"0,5",1,,3,8
Veljina golubinka,4,2,1,"45,7",25,21
Sereška špilja,,,1,,,
Golubinka u Stankovcima,"0,5",1,1,30,9,27
Jama Leopoldina,"12,5",4,1,,"143,7","37,5"
Početnička špilja u Praprotnoj dragi,2,"0,35",1,,39,23
Kašetuša,"1,3",2,1,8,"7,5","14,5"
Jama za Petrinov brig,5,"1,2",1,101,29,90
Mahovnjača,"1,4","0,7",1,"14,5","3,5","14,5"
Jama ispod Velikog Lisca,1,"2,2",1,,"25,5","18,1"
J jama,"1,5",1,1,19,11,13
Golubinka kod Pačići,"1,5","2,5",1,"62,5",36,34
Flanjkova špilja,"0,5",1,1,1488,1359,40
Jama u Kusači,"10,5","4,5",1,,11,"6,5"
Jamurina,4,2,1,,10,13
Pećina Faina,10,14,1,379,343,137
Brijačica,1,"0,6",1,"35,4",9,30
Špilja kod Škardskih vrata,"5,2","2,3",1,"15,8","15,8","2,3"
Pašolinovica,2,6,1,,62,18
Špilja pod Lisinama,1,"1,2",1,,"54,7","9,2"
Čoćina jama,3,1,1,,21,"1,5"
Spilja Jezero,"1,5","0,8",1,,16,5
Milića špilja,,,1,,,
Mekinjača,19,7,1,10,10,0
Velebitski patuljak,7,2,1,"112,9","46,4","86,9"
Gnjile,"1,7","1,2",1,13,12,2
Petarda,"0,5","2,4",1,"13,4",5,"7,3"
Prosttata,7,5,1,322,203,58
Kuka A4,"0,5","0,5",1,"5,3","2,5","4,5"
Jama 1/2 1,1,2,1,"53,4","11,1","49,2"
Jama pod Lisnikom,3,"1,8",1,5,2,5
3G2B,"11,5",3,1,21,"13,5",0
Uska sreća,"6,5",10,1,90,48,58
Jama pod Šikulov breg,2,4,1,29,8,26
Burkova jama,1,"0,6",1,29,16,19
Vranjača kod Medviđe špilje,1,"4,6",1,60,27,51
Mrgića pećina,7,15,1,,148,22
Ponor Prezdan,14,16,1,,50,92
Spilja u Zumiškom dolcu,"5,8","2,3",1,,12,2
Jama kod Katuna,2,"1,5",1,11,3,9
Golubinka u Kljenku,3,2,1,124,50,54
Špilja pod Čelinkom,"1,5","2,5",1,6,6,0
Špilja Kapavica,5,"3,5",1,"7,7","7,5",4
Pećina Debela sten 1,"1,8",2,1,,"12,5",0
Grančica 1,2,"1,5",1,,11,"30,5"
Pećina u Dunjaku,1,"1,5",1,"287,6","278,3",0
Jama bez smeća na Šverdi,10,7,1,22,13,15
Jama Olimp,7,4,1,643,138,537
Golubnjača u Grulovićima,"3,5",8,1,2189,2098,73
Petrius jama,"0,9","1,1",1,"11,2","5,5","5,4"
Jama kod Barićevog boka,"3,1","1,8",1,3,3,"8,5"
I3,4,4,1,,2,6
Jama pod Humcem,"1,2",1,1,,8,"27,7"
Ponor u Stićima,2,1,1,30,20,4
Golubinka,8,"3,7",1,96,18,85
Jama na Palježu,4,3,1,43,6,37
Frnaža,"1,5","1,5",1,,10,66
Jama pod mostom na Šverdi,8,6,1,,25,39
Jama 3LSMB,10,5,1,,30,74
Jama na putu za sv. Paškala,2,"1,5",1,"17,3",8,12
Špilja iza drače u krivini,5,2,1,8,6,0
Trišića jama,11,"2,5",1,119,55,65
Martes martes,5,4,1,23,12,19
Tanasijina jama,2,2,1,"12,1","9,2","6,4"
Jama u Miljevoj dragi,5,5,1,20,8,13
Mali raj,2,2,1,59,16,38
Špilja pod Bukovom gorom 3,"2,4","1,2",1,44,32,19
Špilja na Strmici,2,"3,8",1,"36,8","35,4","8,3"
Totinka,10,15,1,129,77,77
Lisina,7,2,1,"22,7",19,6
Mala peć,,,1,,,
Špilja iza Vukovića,"3,1","2,4",1,,11,"1,1"
Špejarka 3,"1,5",1,1,"14,5","4,5","11,5"
Mala jama na Škenderovcu,2,1,1,22,8,22
Jama pod Perovaćom,1,"0,5",1,31,12,30
Guduća III,1,"2,2",1,6,6,0
Boršt,2,5,1,17,5,8
Gajina pećina,,,1,,,
Opasni pojas,4,3,1,32,10,16
Portal jama,"2,7","9,9",1,13,13,22
Rodića špilja,1,2,1,,45,"6,4"
ČD 9,3,9,1,,"43,12","21,35"
Zazidana pećina,2,1,1,,7,1
Jama kod Tarnoga,"3,5",4,1,11,8,9
Topla peć,4,4,1,46,45,1
Romanova jama,"1,5",6,1,"59,7","40,4",24
Jama pod Osojem,,,1,,,
Rupa pored stupa,"0,58","1,2",1,56,40,23
Vodena jama na Gustacu,,,1,,,
Polušpilja pod Čikitom,16,4,1,7,7,0
Priečkova jama,"2,1",3,1,"7,9","0,6","7,9"
Špilja pod grebenom,"2,5","3,5",1,7,6,4
Jajića špilja,"2,8","1,7",1,,132,45
Markova jama,"0,5","0,5",1,,20,57
Leteće glondže,"3,2","0,8",1,9,7,4
Rudelića špilja,"2,5",6,1,,1155,20
Fobija,1,2,1,24,8,22
Bimba,"1,5",1,1,23,17,6
Jama na brdu Kokotovac ,1,1,1,11,"9,5",5
Jesemti kola,2,7,1,38,15,34
Jama na Rastočinama,6,6,1,,21,73
Barićeve špilje,7,5,1,,710,100
Jama Lijepih Uspomena,"0,8","0,8",1,26,4,23
Volarova pećina,4,5,1,,81,15
Jama pored stana,"1,2","0,5",1,"15,9","6,5",12
Spilja ekonoma Marka,4,2,1,46,40,11
Brgudac VIII,2,2,1,94,49,48
Gorica,1,2,1,11,7,0
Jama u Šterni,5,3,1,66,29,31
Osmulja,"8,7",2,1,20,12,15
Jezerce,0,,1,32,,14
Lažnjakuša Lajava,,,1,8,8,21
Čikita špilja,6,3,1,10,10,0
Morska špilja kod rta Uplovac,7,"6,5",1,"41,1","33,5","15,5"
Kukelj sjever,3,4,1,,23,14
Bagulinovo jezero,"1,5",1,1,85,33,60
Suvaja,"1,5","0,5",1,"77,6",71,4
Žučki,,,1,,,
Špilja ispod kućice lijeva,4,6,1,15,15,0
Špilja Kula,17,11,1,,48,0
Škorak,2,3,1,,154,6
Dvojama kod Kolarišta,6,2,1,61,39,42
Krunićeva špilja,4,"1,5",1,25,21,5
Malenica,17,11,1,143,136,11
Staje 1,1,"1,5",1,,4,"5,9"
Miljacka 6,"5,5",1,1,,"5,5",0
Špilja u dolcu Kame Hame,3,2,1,,7,1
Maukova pećina,2,"1,5",1,46,41,21
Medina golica,"0,6","0,6",1,14,40,37
Jama na Široko,1,1,1,"43,7",24,"18,5"
Kruškovci jama,"0,5",1,1,18,3,18
Mini golf - Strguljin grad 1,4,2,1,,6,5
B 23,"7,5",15,1,,"27,5",58
Prkno,1,"0,8",1,"13,2","5,5","9,2"
Vrelo Ličanke,4,3,1,,831,6
Izvor Grab,,,1,,,
Blizanci,"2,5",1,1,"45,7","11,5",42
Lopička jama,"7,2","5,9",1,17,14,"11,5"
Peć pod Belim gradom ,4,4,1,,5,"2,5"
Podslotinjak,"0,8","1,4",1,"44,8","30,2","13,9"
Droljcova jama,1,2,1,130,24,113
Bijele stijene,5,4,1,137,53,"66,5"
Hamletova jama,1,1,1,11,9,7
Špilja Šepurina,,,1,20,20,8
Jama pod Glavicom,8,6,1,62,42,36
Puškarić 2,"1,5","0,5",1,,6,1
Jama na rubu,,,1,,,
Špilja za Bajkovim brijegom,13,10,1,53,47,19
Lepuška ledenica,10,8,1,183,70,104
Prepremoštena pećina ,6,4,1,,20,11
Trafter,"0,6","0,6",1,20,7,"8,5"
Jama kod stancije Matuli,2,2,1,,10,64
Kubanskaja 2 - 18b,"2,6","3,5",1,14,9,14
Jama grupe Buldožer,9,2,1,,16,45
Predraguša,"3,8","1,3",1,"7,2","7,1","0,8"
Jama broj 6,5,4,1,7,7,6
Staje 8,2,3,1,,6,"18,4"
Kraljicina špilja,4,2,1,,126,6
Špilja na Orsuli,5,"3,2",1,,16,"3,2"
Improvizirana 1,"0,7","0,7",1,43,8,41
Prva Vanjina,8,5,1,,8,"32,5"
Izvor špilja kod Trošmarije,,,1,,,
Jama na Ripanskom vrhu ,2,2,1,60,21,31
Pećina,6,7,1,,77,102
Mala jama na Klani,4,2,1,65,"39,6",31
Medvjeđa zamka,"5,5","4,5",1,20,15,10
Hajdučka jama,"1,7","1,3",1,13,9,7
Jama u Malim Sapcima 4  ,"0,8","1,5",1,,7,8
Aždajina pećina,"2,5","4,5",1,"30,9",25,0
Kolo od tonobila,4,"2,5",1,"16,4",14,11
Špilja Tubaruša,"1,6","0,8",1,"41,3","39,7",0
Pećina pod Bumberić,"0,5","1,5",1,52,43,14
Puzigaće,4,4,1,"6,8","3,3",6
